StdDev,SynAck,DstBytes,SrcBytes,State_A_A,State_PA_PA,DstGap,DstWin,pLoss,SrcRate,Flgs_ e s      ,Mean,sTtl,SrcWin,SrcRetra,Rate,State_FPA_FPA,State__SA,IdleTime,Flgs_ e *      ,State_A_PA,AckDat,DstLoss,State_FA_FA,DstPkts,Min,State_S_SA,TcpOpt_MwsS  T,Load,SrcLoad,Dur,Flgs_ e d      ,DstRetra,SrcPkts,PCRatio,dMeanPktSz,DstRate,Loss,SrcGap,pRetran,State__PA,TotBytes,TotPkts,Flgs_ e g      ,DstLoad,State_SPA_SPA,State__A,TcpRtt,Cause_Status,SrcLoss,Sum,sMeanPktSz,Max,dTtl,label
0.0,0.0,60.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010647,62.0,8222720.0,0.0,93.923172,0.0,0.0,1721542272.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010647,0.0,0.0,0.0,0.0,0.010647,0.0,0.0,1.0,-0.0,60.0,0.0,0.0,0.0,0.0,0.0,134.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010647,74.0,0.010647,64.0,1
0.0,0.018243,74.0,74.0,0.0,0.0,0.0,4077568.0,0.0,0.0,0.0,0.018243,62.0,8222720.0,0.0,54.815544,0.0,0.0,1721542272.0,0.0,0.0,0.0,0.0,0.0,1.0,0.018243,1.0,0.0,0.0,0.0,0.018243,0.0,0.0,1.0,-0.0,74.0,0.0,0.0,0.0,0.0,0.0,148.0,2.0,0.0,0.0,0.0,0.0,0.018243,0.0,0.0,0.018243,74.0,0.018243,64.0,1
0.0,0.018243,355.0,216.0,0.0,0.0,0.0,31872.0,12.5,7.519136,0.0,0.265988,62.0,64256.0,0.0,22.557409,0.0,0.0,1721542272.0,0.0,0.0,0.26965,1.0,0.0,4.0,0.265988,0.0,0.0,12361.459961,4331.022461,0.265988,1.0,0.0,3.0,-0.0,88.75,11.278705,1.0,0.0,0.0,0.0,571.0,7.0,0.0,8030.4375,0.0,0.0,0.287893,1.0,0.0,0.265988,72.0,0.265988,64.0,1
0.0,0.018243,488.0,415.0,0.0,1.0,0.0,31872.0,0.0,4.92089,0.0,0.812861,62.0,64256.0,0.0,12.302226,0.0,0.0,1721542272.0,0.0,0.0,0.26965,0.0,0.0,6.0,0.812861,0.0,1.0,7273.076172,3267.471191,0.812861,0.0,0.0,5.0,-0.0,81.333336,6.151113,0.0,0.0,0.0,0.0,903.0,11.0,0.0,4005.604736,0.0,0.0,0.287893,1.0,0.0,0.812861,83.0,0.812861,64.0,1
0.0,0.018243,66.0,530.0,0.0,0.0,0.0,31872.0,0.0,0.0,0.0,0.046995,62.0,64256.0,0.0,21.27886,0.0,0.0,1721542272.0,0.0,0.0,0.26965,0.0,0.0,1.0,0.046995,0.0,1.0,0.0,0.0,0.046995,0.0,0.0,1.0,-0.0,66.0,0.0,0.0,0.0,0.0,0.0,596.0,2.0,0.0,0.0,0.0,0.0,0.287893,1.0,0.0,0.046995,530.0,0.046995,64.0,1
0.0,0.018243,281.0,72.0,0.0,0.0,0.0,31872.0,0.0,0.0,0.0,0.900315,62.0,64256.0,0.0,4.44289,0.0,0.0,1721542272.0,0.0,0.0,0.26965,0.0,0.0,4.0,0.900315,0.0,1.0,1874.899414,0.0,0.900315,0.0,0.0,1.0,-0.0,70.25,3.332167,0.0,0.0,0.0,0.0,353.0,5.0,0.0,1874.899414,0.0,0.0,0.287893,1.0,0.0,0.900315,72.0,0.900315,64.0,1
0.0,0.018243,66.0,66.0,0.0,0.0,0.0,31872.0,0.0,0.0,0.0,0.005021,62.0,64256.0,0.0,199.163513,0.0,0.0,1721542272.0,0.0,0.0,0.26965,0.0,0.0,1.0,0.005021,0.0,1.0,0.0,0.0,0.005021,0.0,0.0,1.0,-0.0,66.0,0.0,0.0,0.0,0.0,0.0,132.0,2.0,0.0,0.0,0.0,0.0,0.287893,1.0,0.0,0.005021,66.0,0.005021,64.0,1
0.0,0.018243,66.0,66.0,0.0,0.0,0.0,31872.0,0.0,0.0,0.0,0.0,62.0,64256.0,0.0,0.0,0.0,0.0,1721542272.0,0.0,0.0,0.26965,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,66.0,0.0,0.0,0.0,0.0,0.0,132.0,2.0,0.0,0.0,0.0,0.0,0.287893,1.0,0.0,0.0,66.0,0.0,64.0,1
0.0,0.034451,429.0,390.0,0.0,0.0,0.0,31872.0,0.0,5.022242,0.0,0.796457,62.0,64256.0,0.0,11.300045,0.0,0.0,1721542272.0,0.0,0.0,0.193376,0.0,0.0,5.0,0.796457,0.0,0.0,6589.182129,3133.87915,0.796457,0.0,0.0,5.0,-0.0,85.800003,5.022242,0.0,0.0,0.0,0.0,819.0,10.0,0.0,3455.302734,1.0,0.0,0.227827,0.0,0.0,0.796457,78.0,0.796457,64.0,1
0.0,0.034451,280.0,171.0,0.0,1.0,0.0,31872.0,16.666667,1.086673,0.0,0.92024,62.0,64256.0,0.0,4.346692,0.0,0.0,1721542272.0,0.0,0.0,0.193376,1.0,0.0,3.0,0.92024,0.0,0.0,2373.293945,747.631042,0.92024,1.0,0.0,2.0,-0.0,93.333336,2.173346,1.0,0.0,0.0,0.0,451.0,5.0,0.0,1625.662842,0.0,0.0,0.227827,1.0,0.0,0.92024,85.5,0.92024,64.0,1
0.0,0.034451,215.0,758.0,0.0,0.0,0.0,31872.0,0.0,5.377828,0.0,0.557846,62.0,64256.0,0.0,10.755656,0.0,0.0,1721542272.0,0.0,0.0,0.193376,0.0,0.0,3.0,0.557846,0.0,1.0,10225.043945,8159.958008,0.557846,0.0,0.0,4.0,-0.0,71.666664,3.585219,0.0,0.0,0.0,0.0,973.0,7.0,0.0,2065.085938,0.0,0.0,0.227827,1.0,0.0,0.557846,189.5,0.557846,64.0,1
0.0,0.034451,132.0,144.0,0.0,0.0,0.0,31872.0,0.0,2.440512,0.0,0.40975,62.0,64256.0,0.0,7.321537,0.0,0.0,1721542272.0,0.0,0.0,0.193376,0.0,1.0,2.0,0.40975,0.0,1.0,2694.325684,1405.735107,0.40975,0.0,0.0,2.0,-0.0,66.0,2.440512,0.0,0.0,0.0,0.0,276.0,4.0,0.0,1288.590576,0.0,0.0,0.227827,1.0,0.0,0.40975,72.0,0.40975,64.0,1
0.0,0.001993,606.0,561.0,0.0,0.0,0.0,31872.0,0.0,6.600871,0.0,0.908971,62.0,64256.0,0.0,14.301887,0.0,0.0,1721542272.0,0.0,0.0,0.091402,0.0,0.0,7.0,0.908971,0.0,0.0,8809.961914,4233.358398,0.908971,0.0,0.0,7.0,-0.0,86.571426,6.600871,0.0,0.0,0.0,0.0,1167.0,14.0,0.0,4576.603516,1.0,0.0,0.093395,0.0,0.0,0.908971,80.14286,0.908971,64.0,1
0.0,0.001993,148.0,560.0,0.0,1.0,0.0,31872.0,25.0,0.0,0.0,0.623933,62.0,64256.0,0.0,3.205472,0.0,0.0,1721542272.0,0.0,0.0,0.091402,1.0,0.0,2.0,0.623933,0.0,0.0,948.819824,0.0,0.623933,1.0,0.0,1.0,-0.0,74.0,1.602736,1.0,0.0,0.0,0.0,708.0,3.0,0.0,948.819824,0.0,0.0,0.093395,1.0,0.0,0.623933,560.0,0.623933,64.0,1
0.0,0.001993,281.0,282.0,0.0,0.0,0.0,31872.0,0.0,7.383652,0.0,0.406303,62.0,64256.0,0.0,17.228521,1.0,0.0,1721542272.0,0.0,0.0,0.091402,0.0,0.0,4.0,0.406303,0.0,1.0,8328.759766,4174.224609,0.406303,0.0,0.0,4.0,-0.0,70.25,7.383652,0.0,0.0,0.0,0.0,563.0,8.0,0.0,4154.535156,0.0,0.0,0.093395,1.0,0.0,0.406303,70.5,0.406303,64.0,1
0.0,0.00149,680.0,1091.0,0.0,0.0,0.0,31872.0,0.0,7.522077,0.0,0.930594,62.0,64256.0,0.0,16.118736,0.0,0.0,1721542272.0,0.0,0.0,0.198851,0.0,0.0,8.0,0.930594,0.0,0.0,13324.822266,8209.80957,0.930594,0.0,0.0,8.0,-0.0,85.0,7.522077,0.0,0.0,0.0,0.0,1771.0,16.0,0.0,5115.012207,1.0,0.0,0.200341,0.0,0.0,0.930594,136.375,0.930594,64.0,1
0.0,0.00149,207.0,138.0,0.0,0.0,0.0,31872.0,0.0,4.723911,0.0,0.211689,62.0,64256.0,0.0,18.895645,1.0,0.0,1721542272.0,0.0,0.0,0.198851,0.0,0.0,3.0,0.211689,0.0,0.0,7822.796875,2607.598877,0.211689,0.0,0.0,2.0,-0.0,69.0,9.447823,0.0,0.0,0.0,0.0,345.0,5.0,0.0,5215.197754,0.0,0.0,0.200341,1.0,0.0,0.211689,69.0,0.211689,64.0,1
0.0,0.004967,887.0,1241.0,0.0,0.0,0.0,31872.0,0.0,10.073988,0.0,0.89339,62.0,64256.0,0.0,22.386641,0.0,0.0,1721542272.0,0.0,0.0,0.090419,0.0,0.0,11.0,0.89339,0.0,0.0,17228.757812,10002.350586,0.89339,0.0,0.0,10.0,-0.0,80.63636,11.19332,0.0,0.0,0.0,0.0,2128.0,21.0,0.0,7226.407227,0.0,0.0,0.095386,0.0,0.0,0.89339,124.099998,0.89339,64.0,1
0.0,0.003476,503.0,489.0,0.0,0.0,0.0,31872.0,0.0,5.823833,0.0,0.858541,62.0,64256.0,0.0,12.812434,0.0,0.0,1721542272.0,0.0,0.0,0.274882,0.0,0.0,6.0,0.858541,0.0,0.0,7715.414551,3801.798584,0.858541,0.0,0.0,6.0,-0.0,83.833336,5.823833,0.0,0.0,0.0,0.0,992.0,12.0,0.0,3913.616211,1.0,0.0,0.278358,0.0,0.0,0.858541,81.5,0.858541,64.0,1
0.0,0.003476,384.0,770.0,0.0,0.0,0.0,31872.0,0.0,5.119279,0.0,0.58602,62.0,64256.0,0.0,13.651411,1.0,0.0,1721542272.0,0.0,0.0,0.274882,0.0,0.0,5.0,0.58602,0.0,0.0,12095.150391,7890.515625,0.58602,0.0,0.0,4.0,-0.0,76.800003,6.825706,0.0,0.0,0.0,0.0,1154.0,9.0,0.0,4204.634766,0.0,0.0,0.278358,1.0,0.0,0.58602,192.5,0.58602,64.0,1
0.0,0.035442,1019.0,1283.0,0.0,0.0,0.0,31872.0,0.0,14.217986,0.0,0.633001,62.0,64256.0,0.0,34.755077,0.0,0.0,1721542272.0,0.0,0.0,0.101244,0.0,0.0,13.0,0.633001,0.0,0.0,26489.6875,14597.132812,0.633001,0.0,0.0,10.0,-0.0,78.384613,18.957315,0.0,0.0,0.0,0.0,2302.0,23.0,0.0,11892.555664,0.0,0.0,0.136686,0.0,0.0,0.633001,128.300003,0.633001,64.0,1
